Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
 Grace ,25.0,50000.0,Male,HR,Manager,2018-04-05,D,email@example.com,Unknown
 David ,35.0,65000.0,Female,Finance,Director,2020-02-20,F,user@domain.com,123-456-7890
 Hannah ,35.0,60000.0,Female,Sales,Director,2020-01-15,C,email@example.com,098-765-4321
 Eve ,35.0,50000.0,Female,IT,Manager,2018-04-05,A,name@company.org, 
 Grace ,35.0,60000.0,Female,Finance,Manager,2020-01-15,F,name@company.org,098-765-4321
 Jack ,35.0,65000.0,Other,Marketing,Director,2019-03-25,F,user@domain.com,Unknown
 Charlie ,35.0,50000.0,Male,Marketing,Clerk,2019-12-01,B,missing@company.com,123-456-7890
 Grace ,40.0,50000.0,Other,HR,Director,2019-03-25,C,missing@company.com, 
 Hannah ,40.0,60000.0,Female,Marketing,Manager,2020-01-15,C,user@domain.com,123-456-7890
 Eve ,35.0,60000.0,Other,Finance,Assistant,2020-02-20,A,missing@company.com, 
 David ,25.0,70000.0,Male,Marketing,Analyst,2019-12-01,B,missing@company.com,123-456-7890
 Hannah ,35.0,70000.0,Other,Finance,Assistant,2019-03-25,A,missing@company.com,Unknown
 Hannah ,35.0,50000.0,Male,IT,Assistant,2018-04-05,D,missing@company.com, 
 Charlie ,25.0,55000.0,Other,HR,Manager,2020-02-20,F,missing@company.com,555-555-5555
 Frank ,50.0,60000.0,Male,Marketing,Director,2019-03-25,A,missing@company.com,123-456-7890
 Eve ,35.0,65000.0,Male,Finance,Clerk,2018-04-05,F,missing@company.com,123-456-7890
 Bob ,40.0,55000.0,Female,Sales,Assistant,2020-01-15,B,missing@company.com,098-765-4321
 Hannah ,50.0,55000.0,Male,HR,Director,2018-04-05,D,user@domain.com, 
 Frank ,25.0,60000.0,Female,IT,Clerk,2019-03-25,B,email@example.com,555-555-5555
 Bob ,50.0,50000.0,Female,Finance,Assistant,2019-03-25,D,user@domain.com,Unknown
 Eve ,35.0,50000.0,Female,IT,Clerk,2020-01-15,D,email@example.com,098-765-4321
 Alice ,25.0,50000.0,Other,IT,Director,2018-04-05,F,user@domain.com,555-555-5555
 Jack ,50.0,50000.0,Other,Marketing,Analyst,2018-04-05,B,email@example.com, 
 Frank ,40.0,70000.0,Other,Marketing,Director,2020-01-15,B,email@example.com,555-555-5555
 Ivy ,40.0,50000.0,Other,Finance,Manager,2018-04-05,A,name@company.org,123-456-7890
 Alice ,35.0,70000.0,Male,Sales,Clerk,2020-01-15,B,email@example.com,123-456-7890
 Jack ,50.0,70000.0,Male,Finance,Analyst,2020-02-20,A,email@example.com,098-765-4321
 Charlie ,35.0,50000.0,Other,Sales,Clerk,2019-03-25,C,name@company.org, 
 Grace ,50.0,60000.0,Male,IT,Clerk,2020-02-20,C,missing@company.com, 
 David ,25.0,65000.0,Male,HR,Assistant,2019-12-01,C,missing@company.com,555-555-5555
